Timer: 0.229986
 0.000556 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.001667 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.002778 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.003889 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.095000 0.741543 -0.657124 0.658344 1.114865 1.000603 0.000000
 0.096111 0.738980 -0.653275 0.655166 1.114098 1.000613 0.000000
 0.097222 0.736421 -0.649422 0.651999 1.113331 1.000622 0.000000
 0.098333 0.733869 -0.645566 0.648844 1.112564 1.000632 0.000000
 0.099444 0.731321 -0.641708 0.645699 1.111796 1.000642 0.000000
 0.100556 0.728778 -0.637847 0.642564 1.111027 1.000652 0.000000
 0.101667 0.726241 -0.633983 0.639441 1.110258 1.000661 0.000000
 0.102778 0.723710 -0.630117 0.636329 1.109488 1.000671 0.000000
 0.103889 0.721184 -0.626248 0.633228 1.108718 1.000681 0.000000
 0.105000 0.718663 -0.622377 0.630137 1.107947 1.000691 0.000000
 0.106111 0.716147 -0.618503 0.627058 1.107176 1.000701 0.000000
 0.107222 0.713638 -0.614627 0.623990 1.106405 1.000711 0.000000
 0.108333 0.711134 -0.610749 0.620933 1.105633 1.000722 0.000000
 0.109444 0.708635 -0.606868 0.617888 1.104860 1.000732 0.000000
 0.110556 0.706142 -0.602986 0.614853 1.104088 1.000742 0.000000
 0.111667 0.703655 -0.599101 0.611829 1.103314 1.000752 0.000000
 0.112778 0.701174 -0.595215 0.608817 1.102541 1.000763 0.000000
 0.113889 0.698698 -0.591326 0.605816 1.101767 1.000773 0.000000
 0.115000 0.696228 -0.587436 0.602826 1.100993 1.000784 0.000000
 0.116111 0.693764 -0.583543 0.599848 1.100218 1.000794 0.000000
 0.117222 0.691305 -0.579649 0.596880 1.099443 1.000805 0.000000
 0.118333 0.688853 -0.575753 0.593924 1.098668 1.000816 0.000000
 0.119444 0.686406 -0.571856 0.590980 1.097892 1.000827 0.000000
 0.120556 0.683965 -0.567956 0.588046 1.097116 1.000837 0.000000
 0.121667 0.681531 -0.564055 0.585124 1.096340 1.000848 0.000000
 0.122778 0.679102 -0.560153 0.582213 1.095563 1.000859 0.000000
 0.123889 0.676679 -0.556248 0.579313 1.094786 1.000870 0.000000
 0.125000 0.674262 -0.552343 0.576425 1.094009 1.000881 0.000000
 0.126111 0.671851 -0.548436 0.573547 1.093232 1.000892 0.000000
 0.127222 0.669446 -0.544527 0.570682 1.092454 1.000903 0.000000
 0.128333 0.667047 -0.540617 0.567827 1.091676 1.000915 0.000000
 0.129444 0.664654 -0.536706 0.564984 1.090898 1.000926 0.000000
 0.130556 0.662267 -0.532793 0.562152 1.090120 1.000937 0.000000
 0.131667 0.659887 -0.528879 0.559331 1.089341 1.000949 0.000000
 0.132778 0.657512 -0.524964 0.556521 1.088562 1.000960 0.000000
 0.133889 0.655143 -0.521048 0.553723 1.087783 1.000972 0.000000
 0.135000 0.652781 -0.517130 0.550936 1.087003 1.000983 0.000000
 0.136111 0.650425 -0.513212 0.548160 1.086224 1.000995 0.000000
 0.137222 0.648074 -0.509292 0.545396 1.085444 1.001007 0.000000
 0.138333 0.645731 -0.505371 0.542643 1.084664 1.001018 0.000000
 0.139444 0.643393 -0.501449 0.539900 1.083884 1.001030 0.000000
 0.140556 0.641061 -0.497526 0.537170 1.083104 1.001042 0.000000
 0.141667 0.638736 -0.493602 0.534450 1.082323 1.001054 0.000000
